Source,Target,Type,Id,Label,timeset,Weight
14583473,220099966,Directed,562,,,1
14583473,222654604,Directed,563,,,1
14583473,249341403,Directed,564,,,1
14583473,255020634,Directed,565,,,1
14583473,258771167,Directed,566,,,1
14583473,263910175,Directed,567,,,1
14583473,266034113,Directed,568,,,1
14583473,350203424,Directed,569,,,1
14583473,405613416,Directed,570,,,1
14583473,524948955,Directed,571,,,1
14870878,3538796,Directed,572,,,1
14870878,4311406,Directed,573,,,1
14870878,6407680,Directed,574,,,1
14870878,6769254,Directed,575,,,1
14870878,7038577,Directed,576,,,1
14870878,7278378,Directed,577,,,1
14870878,7815454,Directed,578,,,1
14870878,8660003,Directed,579,,,1
14870878,9023364,Directed,580,,,1
14870878,14441649,Directed,581,,,1
14870878,19642021,Directed,582,,,1
14870878,20821771,Directed,583,,,1
22662800,562917251,Directed,2115,,,1
14870878,142639387,Directed,585,,,1
14870878,307363013,Directed,586,,,1
15093046,8837849,Directed,588,,,1
15093046,21547742,Directed,589,,,1
15093046,72454202,Directed,590,,,1
15604345,227657,Directed,591,,,1
15604345,1687066,Directed,592,,,1
15604345,1895348,Directed,593,,,1
15604345,55826326,Directed,594,,,1
15604345,270477814,Directed,595,,,1
15731920,3864197,Directed,596,,,1
15731920,24033979,Directed,597,,,1
15803716,6516489,Directed,598,,,1
15803716,12789381,Directed,599,,,1
15803716,14583473,Directed,600,,,1
15803716,19045333,Directed,601,,,1
15803716,22662800,Directed,602,,,1
15803716,27625112,Directed,603,,,1
15803716,29424858,Directed,604,,,1
15803716,31130945,Directed,605,,,1
562917252,193946764,Directed,2138,,,1
15803716,52055451,Directed,607,,,1
15803716,63244111,Directed,608,,,1
15803716,100374520,Directed,609,,,1
15803716,141211618,Directed,610,,,1
15803716,142952695,Directed,611,,,1
15803716,205312651,Directed,612,,,1
15803716,205850158,Directed,613,,,1
15803716,206047760,Directed,614,,,1
15803716,210183629,Directed,615,,,1
15803716,215122811,Directed,616,,,1
15803716,220099966,Directed,617,,,1
15803716,229970498,Directed,618,,,1
15803716,241122169,Directed,619,,,1
15803716,255020634,Directed,620,,,1
15803716,255731762,Directed,621,,,1
15803716,258771167,Directed,622,,,1
15803716,259383606,Directed,623,,,1
15803716,266034113,Directed,624,,,1
15803716,325841893,Directed,625,,,1
15803716,365064968,Directed,626,,,1
15803716,405613416,Directed,627,,,1
15803716,438267912,Directed,628,,,1
15804314,2699093,Directed,630,,,1
15804314,9372166,Directed,631,,,1
15804314,9673822,Directed,632,,,1
15804314,10360922,Directed,633,,,1
15804314,53937541,Directed,635,,,1
15804314,91165966,Directed,636,,,1
15804314,112447060,Directed,637,,,1
16547019,5751292,Directed,638,,,1
16547019,7066177,Directed,639,,,1
16547019,11044395,Directed,640,,,1
16547019,13186664,Directed,641,,,1
16547019,18831551,Directed,642,,,1
16547019,31321482,Directed,643,,,1
16547019,37265069,Directed,644,,,1
16547019,39207926,Directed,645,,,1
16547019,41269481,Directed,646,,,1
16547019,120271658,Directed,647,,,1
16547019,150562623,Directed,648,,,1
18534161,37265069,Directed,649,,,1
18534161,41269481,Directed,650,,,1
18831551,6111900,Directed,651,,,1
18831551,6218698,Directed,652,,,1
18831551,7066177,Directed,653,,,1
18831551,16547019,Directed,654,,,1
18831551,39207926,Directed,655,,,1
19045333,5599901,Directed,656,,,1
19045333,6516489,Directed,657,,,1
19045333,12789381,Directed,658,,,1
19045333,14583473,Directed,659,,,1
19045333,15803716,Directed,660,,,1
19045333,31130945,Directed,661,,,1
19045333,45712751,Directed,662,,,1
562917252,147112973,Directed,2139,,,1
19045333,52055451,Directed,664,,,1
19045333,57516267,Directed,665,,,1
19045333,72454202,Directed,666,,,1
19045333,100374520,Directed,667,,,1
19045333,140808280,Directed,668,,,1
19045333,147112973,Directed,669,,,1
19045333,152061184,Directed,670,,,1
19045333,167872081,Directed,671,,,1
19045333,193946764,Directed,672,,,1
19045333,205312651,Directed,673,,,1
19045333,205850158,Directed,674,,,1
19045333,206047760,Directed,675,,,1
19045333,220099966,Directed,676,,,1
19045333,229970498,Directed,677,,,1
19045333,258771167,Directed,678,,,1
19045333,266034113,Directed,679,,,1
19045333,300763976,Directed,680,,,1
19045333,365064968,Directed,681,,,1
7815454,562917253,Directed,2159,,,1
19642021,3363362,Directed,683,,,1
19642021,3538796,Directed,684,,,1
19642021,4311406,Directed,685,,,1
19642021,5325067,Directed,686,,,1
19642021,6407680,Directed,687,,,1
19642021,6769254,Directed,688,,,1
19642021,7038577,Directed,689,,,1
19642021,7278378,Directed,690,,,1
19642021,7815454,Directed,691,,,1
19642021,8408976,Directed,692,,,1
19642021,8660003,Directed,693,,,1
19642021,9023364,Directed,694,,,1
19642021,9173772,Directed,696,,,1
19642021,10020082,Directed,697,,,1
19642021,14441649,Directed,698,,,1
19642021,14870878,Directed,699,,,1
19642021,20821771,Directed,701,,,1
19642021,24032841,Directed,702,,,1
19642021,28900519,Directed,703,,,1
19642021,307363013,Directed,704,,,1
19649658,27625112,Directed,706,,,1
19649658,72454202,Directed,707,,,1
19649658,140808280,Directed,708,,,1
19649658,205850158,Directed,709,,,1
20821771,4311406,Directed,710,,,1
20821771,7038577,Directed,711,,,1
20821771,7815454,Directed,712,,,1
20821771,14441649,Directed,713,,,1
20821771,14870878,Directed,714,,,1
20821771,19642021,Directed,715,,,1
20821771,24032841,Directed,716,,,1
20821771,28900519,Directed,717,,,1
20821771,142639387,Directed,718,,,1
20821771,307363013,Directed,719,,,1
21343657,140808280,Directed,721,,,1
21343657,155661745,Directed,722,,,1
21343657,339315283,Directed,723,,,1
21547742,6516489,Directed,724,,,1
21547742,12789381,Directed,725,,,1
21547742,15093046,Directed,726,,,1
21547742,27625112,Directed,727,,,1
21547742,29424858,Directed,728,,,1
21547742,52055451,Directed,729,,,1
21547742,100374520,Directed,730,,,1
21547742,140808280,Directed,731,,,1
21547742,155661745,Directed,732,,,1
21547742,205850158,Directed,733,,,1
22662800,5599901,Directed,734,,,1
22662800,6516489,Directed,735,,,1
22662800,14583473,Directed,736,,,1
22662800,15803716,Directed,737,,,1
22662800,27625112,Directed,738,,,1
22662800,45240815,Directed,739,,,1
22662800,72454202,Directed,740,,,1
22662800,100374520,Directed,741,,,1
22662800,144468561,Directed,742,,,1
22662800,205312651,Directed,743,,,1
22662800,266034113,Directed,744,,,1
300763976,562917252,Directed,2116,,,1
22662800,365064968,Directed,746,,,1
22662800,405613416,Directed,747,,,1
23499242,8644937,Directed,748,,,1
23499242,91165966,Directed,749,,,1
23686916,10040536,Directed,750,,,1
23686916,56764584,Directed,751,,,1
23686916,125582803,Directed,752,,,1
23686916,136569654,Directed,753,,,1
23686916,141747402,Directed,754,,,1
23686916,179696593,Directed,755,,,1
24032841,3538796,Directed,756,,,1
24032841,3848664,Directed,757,,,1
24032841,4311406,Directed,758,,,1
24032841,6407680,Directed,759,,,1
24032841,14441649,Directed,760,,,1
24032841,19642021,Directed,761,,,1
24032841,20821771,Directed,762,,,1
24032841,307363013,Directed,763,,,1
24033979,11044395,Directed,765,,,1
24033979,15731920,Directed,766,,,1
24054585,12789381,Directed,767,,,1
24054585,14583473,Directed,768,,,1
24054585,42044934,Directed,769,,,1
562917252,140808280,Directed,2140,,,1
24054585,52055451,Directed,771,,,1
24054585,57516267,Directed,772,,,1
24054585,147112973,Directed,773,,,1
24054585,152061184,Directed,774,,,1
24054585,193946764,Directed,775,,,1
24054585,206047760,Directed,776,,,1
24054585,220099966,Directed,777,,,1
24082129,9372166,Directed,779,,,1
24082129,49896425,Directed,780,,,1
24337515,3864197,Directed,781,,,1
24337515,5349199,Directed,782,,,1
24337515,5751292,Directed,783,,,1
24337515,7066177,Directed,784,,,1
24337515,31321482,Directed,785,,,1
24337515,37265069,Directed,786,,,1
24337515,39207926,Directed,787,,,1
24337515,74613242,Directed,788,,,1
24337515,150562623,Directed,789,,,1
24491068,2459486,Directed,790,,,1
24491068,76785174,Directed,791,,,1
24491068,142565923,Directed,792,,,1
24491068,154552427,Directed,793,,,1
24491068,164933558,Directed,794,,,1
24491068,246841629,Directed,795,,,1
26860248,186301632,Directed,796,,,1
26860248,263420880,Directed,797,,,1
27625112,6516489,Directed,798,,,1
27625112,15803716,Directed,799,,,1
27625112,19649658,Directed,800,,,1
27625112,21547742,Directed,801,,,1
27625112,22662800,Directed,802,,,1
27625112,31130945,Directed,803,,,1
562917252,100374520,Directed,2141,,,1
27625112,52055451,Directed,805,,,1
27625112,72454202,Directed,806,,,1
27625112,140808280,Directed,807,,,1
27625112,205312651,Directed,808,,,1
27625112,205850158,Directed,809,,,1
27625112,215122811,Directed,810,,,1
27625112,220099966,Directed,811,,,1
27625112,241122169,Directed,812,,,1
27625112,258771167,Directed,813,,,1
27625112,266034113,Directed,814,,,1
